question,answer
What is covered under accidental damage?,"If your car is accidentally damaged, we can choose to either repair the damage ourselves, pay to repair it, replace whatever is lost or damaged if that’s more cost-effective, or settle your claim by sending a payment."
Who is covered to drive other cars?,"Your certificate of motor insurance will show who has cover to drive other cars. We’ll only cover injury to third parties or damage caused to their property, not to the car being driven. See Section 1: Liability on page 11."
What should I do if I need to make a claim?,"To make a claim, you need to call 0345 878 6261. Have your personal details, policy number, car registration number, and a description of the loss or damage ready when you get in touch."
Are charging cables for electric cars covered?,Your home charger and charging cables are considered an accessory to your car. This means they’re covered under Section 2: Fire and theft or Section 4: Accidental damage of your policy.
What is DriveSure?,"DriveSure is our telematics insurance product designed to capture how, when, and where your car is driven, based on driver-monitoring technology. It helps us understand your driving style and adjust your premium accordingly."
What is the market value coverage for fire damage?,"If your car is damaged by fire, we’ll provide cover up to its market value at the time of the incident."
How are car keys covered under the policy?,"We’ll replace your stolen car keys and the locks they fit, including any locksmith charges. You must take all reasonable steps to protect your car keys from theft."
What is covered under Motor Legal Cover?,"Motor Legal Cover includes coverage for legal costs if you need to take legal action or defend yourself in court, as long as your claim has a reasonable chance of succeeding. It covers road traffic accidents, motoring offences, and motor contract disputes."
What happens if my car is written off?,"If your car is written off and we agree to settle your claim on that basis, we will have met our responsibilities to you under the policy. We will not refund any of your premium if you pay annually."
Are personal belongings covered under the policy?,"We’ll pay for personal belongings if they’re lost or damaged by fire, theft, attempted theft, or accident while they’re in or on your car."
What is the Uninsured Driver Promise?,"If you claim for an accident that isn’t your fault, and the driver of the vehicle that hits your car is uninsured, the No Claim Discount on this policy will not be affected and you will not need to pay an excess."
What are the conditions for getting a courtesy car?,"If you claim under section 2 or 4 of your policy and your car is being repaired by an approved repairer, you will get a courtesy car to keep you mobile while your car is being repaired, subject to availability."
How does the policy define 'market value'?,"Market value is the cost of replacing your car with another of the same make and model, and of a similar age, mileage, and condition at the time of the accident or loss."
What should I do if my car keys are lost or damaged?,"If your keys are lost or damaged, you’ll need to pay the accidental damage excess. We can choose to either repair or replace your lost or damaged car keys and the locks they fit, including any locksmith charges."
How does the policy cover windscreen damage?,"We’ll pay to replace or repair accidentally broken glass in the windscreen, sunroof, or windows of your car. If your claim is only for accidental damage to your car’s windscreen, sunroof, or windows, you won’t lose the No Claim Discount on this policy."
What is the coverage for new car replacement?,"If your new car is stolen and not recovered, or written off, we’ll replace it with one of the same make and model."
Are hotel expenses covered if I cannot drive my car after an accident?,"If you cannot drive your car after an accident or loss that’s covered under sections 2 or 4 of this policy, we’ll cover up to the amounts shown in ‘What your cover includes’ on page 8."
What is covered under Section 2: Fire and Theft?,"If your car is damaged by fire or theft, or stolen and not recovered, we’ll also replace any damaged or stolen in-car entertainment equipment that was permanently fitted in your car when it was made."
